time,odds,kl
1,11.340749750898802,0.8995340869090962
2,11.807748889815763,0.8590031710801305
3,11.304958658066605,0.8505872518316576
4,12.609632975646017,0.7366073802330332
5,13.545615457089722,0.9200789582292672
6,11.32716025715177,0.7902889166833972
7,11.853902111998295,0.9051025549379594
8,11.244489290562528,0.9584789702366185
9,10.123777246438724,0.9168702036647084
10,10.794538540033768,0.8051205482914389
11,11.839777305004837,0.8093591966282815
12,12.537731641172588,1.0044511022396378
13,11.933754954223808,0.820051232194416
14,11.638349699587375,0.822531773040552
15,13.463743479523785,0.8440056258015376
16,11.987080851064547,0.8542217296750259
17,12.279539741911865,1.025765289166625
18,11.853008979759915,0.753776675655601
19,12.6627732859733,0.7858075360447137
20,13.249046229400394,0.9766214130900783
21,11.564258144235154,0.8582034438795609
22,12.366489050318968,0.8436572766460815
23,11.534933116556779,0.7985900507629081
24,10.176565620838517,0.8611282658654382
25,12.118737611752392,0.8127328984265354
26,13.020309886449985,0.874019562040592
27,12.58431747654892,0.8780634305664484
28,11.847730861500558,0.9332174019910137
29,9.974962901702014,0.7058582762704981
30,11.528390598901492,0.7689865934444963
31,12.702022073312147,0.8223508569070537
32,11.695861171919644,0.7872128204950696
33,10.920740033615221,0.7646531977368468
34,13.667237138974949,0.909208786827698
35,12.977534965058194,0.900845400816851
36,11.808515310862267,0.8877058391821865
37,10.72378382722267,0.9040109436394785
38,11.250873680654179,0.922897456663613
39,13.658421744271912,0.767498144527533
40,10.601254944046433,0.8629461134447655
41,12.786388866690142,0.8216526611401869
42,12.258511720778884,0.8022317670910282
43,12.977433741701354,0.9131748333677241
44,10.671604202341527,0.9662410525896289
45,12.402903481098921,0.8031510708500955
46,11.531533066183462,0.9330141198050039
47,10.888806704656425,0.7699982024084101
48,11.635035915204416,0.9531083585058574
49,12.213261039509753,0.8016980563579785
50,11.300573430533355,0.8839563221763111
